"geography_type","geography_name","state","estimate_base_2020","estimate_2020","estimate_2021","estimate_2022","estimate_2023","estimate_2024","estimate_2025","change_2020_2025","change_pct_2020_2025"
"state","South Carolina","SC","5118250","5131992","5194346","5288957","5390798","5490316","5570274","438282","8.5402"
"county","Abbeville","SC","24293","24267","24276","24413","24582","24679","24836","569","2.3447"
"county","Aiken","SC","168810","169170","171026","173545","176336","178363","181515","12345","7.2974"
"county","Allendale","SC","8037","7940","7710","7510","7588","7531","7355","-585","-7.3678"
"county","Anderson","SC","203721","204181","206965","210142","214149","217390","219930","15749","7.7133"
"county","Bamberg","SC","13311","13259","13124","12947","12964","12836","12796","-463","-3.492"
"county","Barnwell","SC","20583","20580","20592","20445","20430","20512","20653","73","0.3547"
"county","Beaufort","SC","187093","187814","191945","196266","199700","203006","204433","16619","8.8486"
"county","Berkeley","SC","229779","231478","236898","245656","256711","265992","274666","43188","18.6575"
"county","Calhoun","SC","14120","14111","14141","14197","14189","14186","14188","77","0.5457"
"county","Charleston","SC","408522","409934","414662","420325","426447","433257","436200","26266","6.4074"
"county","Cherokee","SC","56225","56225","56138","56235","56966","57874","58275","2050","3.6461"
"county","Chester","SC","32298","32287","32169","31986","32227","32547","33001","714","2.2114"
"county","Chesterfield","SC","43268","43256","43315","43645","44126","44440","44740","1484","3.4307"
"county","Clarendon","SC","31145","30832","30967","30965","31106","31053","31043","211","0.6844"
"county","Colleton","SC","38600","38538","38486","38650","39129","39429","39382","844","2.19"
"county","Darlington","SC","62905","62853","62778","62504","62498","62683","62888","35","0.0557"
"county","Dillon","SC","28294","28274","27981","27763","27708","27581","27458","-816","-2.886"
"county","Dorchester","SC","161330","162056","163528","166125","169882","174839","178397","16341","10.0836"
"county","Edgefield","SC","25649","25674","26264","27273","28521","29247","29808","4134","16.1019"
"county","Fairfield","SC","20961","20892","20711","20455","20489","20478","20340","-552","-2.6422"
"county","Florence","SC","137067","136826","136446","136895","137524","138317","138504","1678","1.2264"
"county","Georgetown","SC","63400","63508","63948","64762","65808","66132","65912","2404","3.7853"
"county","Greenville","SC","525549","527244","534789","548763","560986","573870","583125","55881","10.5987"
"county","Greenwood","SC","69350","69329","69002","69301","69634","70180","70379","1050","1.5145"
"county","Hampton","SC","18565","18526","18266","18138","18195","18184","18174","-352","-1.9"
"county","Horry","SC","351036","353774","366100","383626","398699","414307","427551","73777","20.8543"
"county","Jasper","SC","28811","29158","30441","32068","33983","36338","38533","9375","32.1524"
"county","Kershaw","SC","65407","65590","66253","67989","70331","71912","73166","7576","11.5505"
"county","Lancaster","SC","96012","96589","100476","104629","108455","111299","114296","17707","18.3323"
"county","Laurens","SC","67522","67626","67864","68150","69208","70508","71848","4222","6.2432"
"county","Lee","SC","16533","16551","16279","16121","15925","15873","15730","-821","-4.9604"
"county","Lexington","SC","293919","294989","300722","305297","309883","314084","317588","22599","7.661"
"county","Marion","SC","29184","29088","28865","28513","28544","28504","28242","-846","-2.9084"
"county","Marlboro","SC","26667","26494","26077","25952","25745","25544","25488","-1006","-3.7971"
"county","McCormick","SC","9527","9522","9752","9715","9788","9977","10215","693","7.2779"
"county","Newberry","SC","37716","37736","37999","38342","38931","39321","39561","1825","4.8362"
"county","Oconee","SC","78612","78794","79380","80280","81552","82566","83775","4981","6.3215"
"county","Orangeburg","SC","84227","83961","82863","83183","83212","83171","83177","-784","-0.9338"
"county","Pickens","SC","131415","131698","132162","134421","136591","137859","139198","7500","5.6948"
"county","Richland","SC","416131","415755","417573","421786","424872","430800","434956","19201","4.6183"
"county","Saluda","SC","18942","18914","18914","19102","19327","19569","19680","766","4.0499"
"county","Spartanburg","SC","328000","329370","335481","346466","358924","369934","380857","51487","15.632"
"county","Sumter","SC","105557","105409","104703","103890","104396","104788","105067","-342","-0.3245"
"county","Union","SC","27230","27173","27028","26788","26781","26794","26799","-374","-1.3764"
"county","Williamsburg","SC","31020","30914","30436","30154","29986","29801","29662","-1252","-4.0499"
"county","York","SC","281907","283833","288851","293579","297770","302761","306887","23054","8.1224"
